상세주소,Latitude,Longitude,사용기관,사용장소,state,district,road,detail1,detail2,,종류,road2
서울특별시 중구 세종대로 136,37.5683731,126.9782699,여성가족부,생어거스틴,서울특별시,중구,세종대로,136,생어거스틴,,양식,태평로1가
서울특별시 중구 세종대로 136,37.5683731,126.9782699,여성가족부,생어거스틴,서울특별시,중구,세종대로,136,생어거스틴,,양식,태평로1가
서울특별시 중구 세종대로 55,37.5616036,126.9749464,여성가족부,식객촌 태평로점,서울특별시,중구,세종대로,55,식객촌 태평로점,,한식,태평로2가
서울특별시 중구 세종대로14길 22,37.5627592,126.9779108,여성가족부,대복집,서울특별시,중구,세종대로14길,22,대복집,,한식,북창동
서울특별시 강남구 언주로 123,37.4869126,127.0489647,여성가족부,매드포갈릭 도곡점,서울특별시,강남구,언주로,123,매드포갈릭 도곡점,,양식,도곡동
서울특별시 강남구 언주로 123,37.4869126,127.0489647,여성가족부,매드포갈릭 도곡점,서울특별시,강남구,언주로,123,매드포갈릭 도곡점,,양식,도곡동
서울특별시 영등포구 여의공원로 101,37.5292309,126.9248721,여성가족부,운산,서울특별시,영등포구,여의공원로,101,운산,,한식,여의도동
서울특별시 영등포구 여의공원로 101,37.5292309,126.9248721,여성가족부,운산,서울특별시,영등포구,여의공원로,101,운산,,한식,여의도동
서울특별시 종로구 율곡로 6,37.5754163,126.9801322,여성가족부,광화문 해리,서울특별시,종로구,율곡로,6,광화문 해리,,한식,중학동
서울특별시 영등포구 은행로 3,37.5274767,126.9196523,여성가족부,노조미,서울특별시,영등포구,은행로,3,노조미,,일식,여의도동
서울특별시 용산구 이태원로 227,37.5355974,126.9988408,여성가족부,아라베스크,서울특별시,용산구,이태원로,227,아라베스크,,기타,한남동
서울특별시 종로구 인사동11길 23,37.5736651,126.9834119,여성가족부,아지오(AGIO),서울특별시,종로구,인사동11길,23,아지오(AGIO),,양식,견지동
서울특별시 종로구 인사동11길 23,37.5736651,126.9834119,여성가족부,아지오(AGIO),서울특별시,종로구,인사동11길,23,아지오(AGIO),,양식,견지동
서울특별시 종로구 인사동14길 23,37.5749783,126.985236,여성가족부,누리,서울특별시,종로구,인사동14길,23,누리,,한식,관훈동
서울특별시 종로구 인사동14길 24-5,37.5747997,126.9856369,여성가족부,수연,서울특별시,종로구,인사동14길,43243,수연,,한식,관훈동
서울특별시 종로구 인사동14길 24-5,37.5747997,126.9856369,여성가족부,수연,서울특별시,종로구,인사동14길,05월 24일,수연,,한식,관훈동
서울특별시 종로구 자하문로 40길 75,37.5936369,126.9660269,여성가족부,소소한 풍경,서울특별시,종로구,자하문로,40길,소소한 풍경,,한식,부암동
