호선,역명,상세주소 ,시,구,동,X좌표,Y좌표
K,용문,경기도 양평군 용문면 다문리?,경기도,양평군,용문면,37.48223,127.594647
K,대곡,경기도 고양시 덕양구 대장동,경기도,고양시 덕양구,대장동,37.631626,126.811024
K,신촌(경의중앙선),서울특별시 서대문구 신촌동,서울특별시,서대문구,신촌동,37.559783,126.942319
K,공덕,서울특별시 마포구 공덕동,서울특별시,마포구,공덕동,37.544018,126.951592
K,서강대,서울특별시 마포구 노고산동,서울특별시,마포구,노고산동,37.551881,126.935711
K,가좌,서울특별시 서대문구 남가좌동,서울특별시,서대문구,남가좌동,37.568491,126.915487
K,디지털미디어시티,서울특별시 은평구 수색동 ,서울특별시,은평구,수색동,37.576646,126.900984
K,화전,경기도 고양시 덕양구 화전동,경기도,고양시 덕양구 ,화전동,37.602888,126.868387
K,행신,경기도 고양시 덕양구 행신동 ,경기도,고양시 덕양구 ,행신동,37.612102,126.834146
K,곡산,경기도 고양시 일산동구 백석동 ,경기도,고양시 일산동구,백석동,37.645676,126.801762
K,백마,경기도 고양시 일산동구 백석동 ,경기도,고양시 일산동구,백석동,37.658239,126.794461
K,강매,경기도 고양시 덕양구 행신동,경기도,고양시 덕양구 ,행신동,37.612314,126.843223
K,신원,경기도 양평군 양서면 신원리,경기도,양평군,양서면,37.525545,127.372921
K,양평(경의중앙선),경기도 양평군 양평읍 양근리,경기도,양평군,양평읍,37.492832,127.491814
K,효창공원앞,서울특별시 용산구 효창동,서울특별시,용산구,효창동,37.539261,126.961351
K,지평,경기도 양평군 지평면,경기도,양평군,지평면,,
K,야당,경기도 파주시 야당동,경기도,파주시,야당동,37.712327,126.761356
K,옥수,서울특별시 성동구 옥수동,서울특별시,성동구,옥수동,37.540685,127.017965
K,청량리,서울특별시 동대문구 전농동?,서울특별시,동대문구,전농동?,37.580178,127.046835
K,망우,서울특별시 중랑구 상봉1동,서울특별시,중랑구,상봉1동,37.59955,127.091909
K,도농,경기도 남양주시 다산동?,경기도,남양주시,다산동?,37.608806,127.161153
K,도심,경기도 남양주시 와부읍 도곡리,경기도,남양주시,와부읍,37.579622,127.222672
K,양수,경기도 양평군 양서면 용담리,경기도,양평군,양서면,37.545981,127.329098
K,국수,경기도 양평군 양서면 국수리,경기도,양평군,양서면,37.516169,127.399367
K,원덕,경기도 양평군 양평읍 원덕리,경기도,양평군,양평읍,37.468672,127.547076
K,서울(경의중앙선),서울특별시 용산구 동자동,서울특별시,용산구,동자동,37.556328,126.969522
K,홍대입구,서울특별시 마포구 동교동,서울특별시,마포구,동교동,37.557192,126.925381
K,수색,서울특별시 은평구 수색동,서울특별시,은평구,수색동,37.580842,126.895611
K,능곡,경기도 고양시 덕양구 토당동,경기도,고양시 덕양구,토당동,37.618808,126.820783
K,풍산,경기도 고양시 일산동구 풍동,경기도,고양시 일산동구,풍동,37.672346,126.786243
K,운정,경기도 파주시 야당동,경기도,파주시,야당동,37.725826,126.767257
K,월롱,경기도 파주시 월롱면 위전리,경기도,파주시,월롱면,37.796188,126.792587
K,용산,서울특별시 용산구 한강로3가,서울특별시,용산구,한강로3가,37.529849,126.964561
KK,판교,경기도 성남시 분당구 백현동?,경기도,성남시 분당구,백현동,37.394761,127.111217
KK,이매,경기도 성남시 분당구 이매동,경기도,성남시 분당구,이매동,37.396104,127.12827
KK,삼동,경기도 광주시 광남동,경기도,광주시,광남동,37.409522,127.20336
KK,경기광주,경기도 광주시 경안동,경기도,광주시,경안동,37.399907,127.25263
KK,초월,경기도 광주시 초월읍 쌍동리,경기도,광주시 ,초월읍,37.374419,127.299
KK,곤지암,경기도 광주시 곤지암읍,경기도,광주시,곤지암읍,37.351315,127.34674
KK,신둔도예촌,경기도 이천시 신둔면 남정리,경기도,이천시,신둔면,37.317185,127.40476
KK,이천,경기도 이천시 율현동?,경기도,이천시,율현동?,37.265579,127.44226
KK,부발,경기도 이천시 부발읍 아미리?,경기도,이천시,부발읍,37.260192,127.490277
KK,세종대왕릉,경기도 여주시 능서면 신지리,경기도,여주시,능서면,37.295309,127.570938
KK,여주,경기도 여주시 교동,경기도,여주시,교동,,
S,강남,서울특별시 강남구 역삼동,서울특별시,강남구,역삼동,37.497175,127.027926
S,양재,서울특별시 서초구 서초동,서울특별시,서초구,서초동,37.484147,127.034631
S,판교,경기도 성남시 분당구 백현동?,경기도,성남시 분당구,백현동,37.394761,127.111217
S,정자,경기도 성남시 분당구 정자동,경기도,성남시 분당구,정자동,37.36706,127.108105
S,양재시민의숲,서울특별시 서초구 양재동?,서울특별시,서초구,양재동,37.470023,127.03842
S,동천,경기도 용인시 수지구 동천동,경기도,용인시 수지구,동천동,37.337928,127.102976
S,수지구청,경기도 용인시 수지구 풍덕천동?,경기도,용인시 수지구,풍덕천동,37.322702,127.095026
S,성복,경기도 용인시 수지구 성복동,경기도,용인시 수지구,성북동,37.313335,127.0801
S,상현,경기도 용인시 수지구 상현동,경기도,용인시 수지구,상현동,37.297664,127.069342
S,광교중앙,경기도 수원시 원천동,경기도,수원시,원천동,37.288617,127.051478
S,광교,경기도 수원시 영통구 이의동,경기도,수원시 영통구,이의동,37.30211,127.044483
S,청계산입구,서울특별시 서초구 신원동?,서울특별시,서초구,신원동?,37.447211,127.055664
