번호,음식
391,버섯국
392,버섯볶음
393,버섯전골
394,경주법주
395,보리밥
396,보리수단
397,보리차
398,보신탕
399,보쌈
400,보쌈김치
401,복어
402,복어매운탕
403,복숭아
404,복어회
405,복어지리
406,복어찜
407,볶음밥
408,부각
409,부대찌개
410,부추
411,부추김치
412,부추전
413,북어
414,북어구이
415,북어껍질국
416,북어무침
417,북어보푸라기
418,북어조림
419,북어찜
420,북엇국
421,불갈비
422,불고기
423,불고기뚝배기
424,불낙전골
425,불백정식
426,붕어찜
427,무비늘김치
428,비빔국수
429,비빔냉면
430,비빔밥
431,비지찌개
432,빈대떡
433,빙수
434,사골
435,사과
436,사슬어산적
437,사태찜
438,산자
439,산적
440,산채비빔밥
441,살구
442,살구편
443,삼겹살구이
444,삼계탕
445,삼치
446,삼합장과
447,상추
448,상추겉절이
449,상추쌈
450,새우
451,새우젓
452,새우튀김
453,생갈비구이
454,생강
455,생강정과
456,생강차
457,생률
458,생선전
459,생선초밥
460,생선회
461,생채
462,생치만두
463,석화전
464,섞박지
465,섞어찌개
466,선지해장국
467,설렁탕
468,섭산적
469,성게
470,성게젓
471,성겟국
472,소라
473,소라무침
474,소라회
475,소면
476,소박이김치
477,소주
478,송이
479,송이밥
480,송이볶음
481,송이산적
482,송이전골
483,송이찜
484,송편
485,쇠고기
486,쇠고기맑은장국
487,쇠고기산적
488,쇠고기소금구이
489,쇠고기전골
490,쇠고기튀김
491,쇠꼬리찜
492,쇠머리떡
493,쇠머리편육
494,수란
495,수박
496,수삼정과
497,수수
498,수수경단
499,수수부꾸미 
500,수수팥떡
501,수육
502,수정과
503,수제비
504,숙실과
505,숙주나물
506,순대
507,순댓국
508,순두부
509,순두부찌개
510,순무김치
511,술떡
512,숭늉
513,숯불갈비
514,시금치
515,시금칫국
516,시래기
517,시래기나물
518,시래기찌개
519,시래깃국
520,시루떡
521,식초
522,식혜
523,신선로
524,싸리버섯
525,쌈
526,쌈밥
527,쌍화차
528,쏘가리매운탕
529,쑥
530,쑥갓
531,쑥경단
532,쑥국
533,쑥국수
534,쑥떡
535,씀바귀
536,씀바귀나물
537,아구
538,아구찜
539,아구탕
540,아욱국
541,안동소주
542,안동찜닭
543,안주
544,알타리김치
545,알탕
546,애저찜
547,약과
548,약밥
549,약주
550,양곰탕
551,양곱창구이
552,양념간장
553,양념게장
554,양무침
555,양송이
556,양즙탕
557,어글탕
558,어리굴젓
559,어만두
560,어복쟁반
561,어선
562,연근
563,연근전
564,연근정과
565,연근조림
566,연어
567,열무
568,열무김치
569,열무냉면
570,염통구이
571,엿
572,엿강정
573,영계백숙
574,오곡밥
575,오골계탕
576,오리
577,오리구이
578,오리탕
579,오미자
580,오미자차
581,오미자화채
582,오분자기
583,오분자기젓
584,오분자기찜
585,오이
586,오이냉국
587,오이무침
588,오이볶음
589,오이생채
590,오이선
591,오이소박이
592,오이장아찌
593,오이지
594,오징어
595,오징어구이
596,오징어덮밥
597,오징어무침
598,오징어불고기
599,오징어숙회
600,오징어순대
601,오징어젓
602,오징어채무침
603,오징어채볶음
604,오징어회
605,옥돔
606,옥돔구이
607,옥돔미역국
608,옥돔주
609,옥수수밥
610,온면
611,올갱잇국
612,온반
613,왁저지
614,완자전
615,완자탕
616,용봉탕
617,우거지탕
618,우둔찜
619,우렁된장찌개
620,우렁찜
621,우설
622,우엉
623,우엉조림
624,웃기
625,원소병
626,원추리나물
627,유밀과
628,유자
629,유자정과
630,유자차
631,유과
632,육개장
633,육포
634,육회
635,육회돌솥비빔밥
636,율란
637,율무차
638,은어
639,은행
640,이강주
641,인삼
642,인삼정과
643,인삼주
644,인삼차
645,인절미
646,임자수탕
