호선,역명,시,구,동,X좌표,Y좌표,,,,
7,건대입구,서울특별시,광진구,화양동,37.540693,127.07023,,,,
7,뚝섬유원지,서울특별시,광진구,자양동,37.53154,127.066704,,,,
7,청담,서울특별시,강남구,청담동,37.519365,127.05335,,,,
7,강남구청,서울특별시,강남구,삼성동,37.517186,127.04128,,,,
7,학동,서울특별시,강남구,논현동,37.514229,127.031656,,,,
7,논현,서울특별시,강남구,논현동,37.511093,127.021415,,,,
7,반포,서울특별시,서초구,잠원동,37.508178,127.011727,,,,
7,고속터미널,서울특별시,서초구,반포동,37.50481,127.004943,,,,
7,내방,서울특별시,서초구,방배동,37.487618,126.993513,,,,
7,이수,서울특별시,동작구,사당동,,,서울특별시,동작구,사당로,지하310
7,남성,서울특별시,동작구,사당동,37.484596,126.971251,,,,
7,숭실대입구,서울특별시,동작구,상도동,37.496029,126.953822,,,,
7,상도,서울특별시,동작구,상도1동,37.502834,126.94791,,,,
7,장승배기,서울특별시,동작구,상도동,37.504898,126.93915,,,,
7,신대방삼거리,서울특별시,동작구,대방동,37.499701,126.928276,,,,
7,보라매,서울특별시,동작구,대방동,37.499872,126.920428,,,,
7,신풍,서울특별시,영등포구,신길동,37.50008,126.90993,,,,
7,대림,서울특별시,영등포구,대림동,37.49297,126.895801,,,,
7,남구로,서울특별시,구로구,구로동,37.486056,126.887249,,,,
7,가산디지털단지,서울특별시,금천구,가산동,37.481072,126.882343,,,,
7,천왕,서울특별시,구로구,오류동,37.486637,126.838713,,,,
7,온수,서울특별시,구로구,온수동,37.492258,126.823388,,,,
7,까치울,경기도,부천시,춘의동,37.506207,126.810939,,,,
7,부천종합운동장,경기도,부천시,춘의동,37.50538,126.797337,,,,
7,춘의,경기도,부천시,춘의동,37.503663,126.787036,,,,
7,신중동,경기도,부천시,중동,37.503048,126.77596,,,,
7,부천시청,경기도,부천시,중동,37.504631,126.763538,,,,
7,상동,경기도,부천시,상동,37.505781,126.753083,,,,
7,철산,경기도,광명시,철산동,37.47605,126.867911,,,,
7,광명사거리,경기도,광명시,광명동,37.479252,126.854876,,,,
7,장암,경기도,의정부시,장암동,37.700109,127.053196,,,,
7,삼산체육관,인천광역시,부평구,삼산동,37.506411,126.742153,,,,
7,굴포천,인천광역시,부평구,삼산동,37.506997,126.73128,,,,
7,부평구청,인천광역시,부평구,갈산동,37.508336,126.720548,,,,
8,암사,서울특별시,강동구,암사동,37.55021,127.127562,,,,
8,강동구청,서울특별시,강동구,성내동,37.530341,127.120508,,,,
8,몽촌토성,서울특별시,송파구,신천동,37.517409,127.112359,,,,
8,잠실,서울특별시,송파구,신천동,37.51395,127.102234,,,,
8,석촌,서울특별시,송파구,석촌동,37.505431,127.106979,,,,
8,송파,서울특별시,송파구,가락동,37.499703,127.112183,,,,
8,가락시장,서울특별시,송파구,가락동,37.492522,127.118234,,,,
8,문정,서울특별시,송파구,문정동,37.485855,127.1225,,,,
8,장지,서울특별시,송파구,장지동,37.478703,127.126191,,,,
8,복정,서울특별시,송파구,장지동,37.470047,127.126662,,,,
8,산성,경기도,성남시 수정구,신흥동,37.457122,127.149908,,,,
8,남한산성입구,경기도,성남시 수정구,단대동,37.451535,127.159816,,,,
8,단대오거리,경기도,성남시 수정구,신흥동,37.44521,127.156866,,,,
8,신흥,경기도,성남시 수정구,신흥동,37.437428,127.140722,,,,
8,수진,경기도,성남시 수정구,수진동,37.440918,127.147564,,,,
8,모란,경기도,성남시 수정구,수진동,37.43213,127.129087,,,,
